[ AI-Rank-Log  4/ 7  9:30:39.767 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:39.830 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:39.893 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:39.958 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40. 23 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40. 99 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.169 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.243 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.312 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.391 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.460 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.530 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.592 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.664 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.733 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.804 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.880 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:40.944 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41. 15 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41. 92 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.162 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.240 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.320 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.392 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.461 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.544 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.623 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.693 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.762 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.843 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.917 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:41.988 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42. 75 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.150 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.221 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.305 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.384 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.460 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.537 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.611 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.671 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.751 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.826 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.904 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:42.973 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43. 48 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.124 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.207 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.272 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.349 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.418 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.490 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.570 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.649 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.722 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.803 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.882 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:43.964 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44. 50 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.122 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.200 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.276 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.354 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.414 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.492 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.572 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.647 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:44.725 ]sampleid: 000000013348.jpg, result=true
