[ AI-Rank-Log  4/ 7 16: 4: 8.390 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.443 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.494 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.548 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.602 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.655 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.712 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.767 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.821 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.881 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.934 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 8.989 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9. 48 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.104 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.156 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.211 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.265 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.319 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.375 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.432 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.487 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.544 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.603 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.660 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.715 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.774 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.832 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.886 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4: 9.941 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.  2 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10. 61 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.117 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.177 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.235 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.296 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.356 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.418 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.475 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.533 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.590 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.646 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:10.706 ]sampleid: 000000010583.jpg, result=true
