AI-Rank-log 1617949766.1605308 sampleid:56d601e41c85041400946ece, same num=1
AI-Rank-log 1617949766.160606 sampleid:56d601e41c85041400946ecf, same num=1
AI-Rank-log 1617949766.1606839 sampleid:56d601e41c85041400946ed0, same num=1
AI-Rank-log 1617949766.1607625 sampleid:56d601e41c85041400946ed1, same num=2
AI-Rank-log 1617949766.1608524 sampleid:56d601e41c85041400946ed2, same num=1
AI-Rank-log 1617949766.160927 sampleid:56d98b33dc89441400fdb53b, same num=1
AI-Rank-log 1617949766.1610007 sampleid:56d98b33dc89441400fdb53c, same num=1
AI-Rank-log 1617949766.16108 sampleid:56d98b33dc89441400fdb53d, same num=2
AI-Rank-log 1617949766.161153 sampleid:56d98b33dc89441400fdb53e, same num=1
AI-Rank-log 1617949766.1612253 sampleid:56be5333acb8001400a5030a, same num=1
AI-Rank-log 1617949766.1613033 sampleid:56be5333acb8001400a5030b, same num=2
AI-Rank-log 1617949766.1613781 sampleid:56be5333acb8001400a5030c, same num=1
AI-Rank-log 1617949766.161479 sampleid:56be5333acb8001400a5030d, same num=4
AI-Rank-log 1617949766.1615655 sampleid:56be5333acb8001400a5030e, same num=3
AI-Rank-log 1617949766.1616387 sampleid:56beaf5e3aeaaa14008c91fd, same num=1
AI-Rank-log 1617949766.1617172 sampleid:56beaf5e3aeaaa14008c91fe, same num=2
AI-Rank-log 1617949766.1618018 sampleid:56beaf5e3aeaaa14008c91ff, same num=1
AI-Rank-log 1617949766.1618822 sampleid:56beaf5e3aeaaa14008c9200, same num=2
AI-Rank-log 1617949766.1619577 sampleid:56beaf5e3aeaaa14008c9201, same num=1
AI-Rank-log 1617949766.1620312 sampleid:56bf1ae93aeaaa14008c951b, same num=1
AI-Rank-log 1617949766.1621087 sampleid:56bf1ae93aeaaa14008c951c, same num=2
AI-Rank-log 1617949766.1621861 sampleid:56bf1ae93aeaaa14008c951e, same num=0
AI-Rank-log 1617949766.1622608 sampleid:56bf1ae93aeaaa14008c951f, same num=1
AI-Rank-log 1617949766.162334 sampleid:56d2051ce7d4791d00902608, same num=1
AI-Rank-log 1617949766.1624124 sampleid:56d2051ce7d4791d00902609, same num=2
AI-Rank-log 1617949766.1624963 sampleid:56d2051ce7d4791d0090260a, same num=1
AI-Rank-log 1617949766.162592 sampleid:56d2051ce7d4791d0090260b, same num=4
AI-Rank-log 1617949766.1626658 sampleid:56d602631c85041400946ed8, same num=1
AI-Rank-log 1617949766.1627467 sampleid:56d602631c85041400946eda, same num=1
AI-Rank-log 1617949766.162855 sampleid:56d602631c85041400946edb, same num=4
AI-Rank-log 1617949766.1629426 sampleid:56d602631c85041400946edc, same num=3
AI-Rank-log 1617949766.1630259 sampleid:56d98c53dc89441400fdb544, same num=2
AI-Rank-log 1617949766.1631021 sampleid:56d98c53dc89441400fdb545, same num=1
AI-Rank-log 1617949766.1631942 sampleid:56d98c53dc89441400fdb546, same num=4
AI-Rank-log 1617949766.1632721 sampleid:56d98c53dc89441400fdb548, same num=2
AI-Rank-log 1617949766.163352 sampleid:56be53b8acb8001400a50314, same num=2
AI-Rank-log 1617949766.1634307 sampleid:56be53b8acb8001400a50315, same num=1
AI-Rank-log 1617949766.1635036 sampleid:56be53b8acb8001400a50316, same num=1
AI-Rank-log 1617949766.1635845 sampleid:56beafca3aeaaa14008c9207, same num=2
AI-Rank-log 1617949766.1636643 sampleid:56beafca3aeaaa14008c9208, same num=2
AI-Rank-log 1617949766.1637433 sampleid:56bf42f53aeaaa14008c95a3, same num=2
AI-Rank-log 1617949766.1638288 sampleid:56d2053ae7d4791d00902610, same num=2
AI-Rank-log 1617949766.1639092 sampleid:56d6edd00d65d21400198250, same num=2
AI-Rank-log 1617949766.163993 sampleid:56d6edd00d65d21400198251, same num=1
AI-Rank-log 1617949766.1640697 sampleid:56d98d0adc89441400fdb54e, same num=1
AI-Rank-log 1617949766.1641438 sampleid:56d98d0adc89441400fdb54f, same num=1
