- AI-Rank-log 1621231400.580 load_data, checksum:234584
video number:19760
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
- AI-Rank-log 1621231400.711 test_begin
Epoch: [0][500/14661], lr: 0.00250	Time 0.285 (0.297)	Data 0.000 (0.002)	Loss 4.9340 (5.2638)	Prec@1 18.750 (7.498)	Prec@5 18.750 (19.087)	2021-05-17 14:05:49.607594
Epoch: [0][520/14661], lr: 0.00250	Time 0.285 (0.297)	Data 0.000 (0.002)	Loss 3.6232 (5.2377)	Prec@1 31.250 (7.618)	Prec@5 62.500 (19.410)	2021-05-17 14:05:55.439978
Epoch: [0][540/14661], lr: 0.00250	Time 0.297 (0.297)	Data 0.000 (0.002)	Loss 5.0903 (5.2174)	Prec@1 6.250 (7.787)	Prec@5 31.250 (19.697)	2021-05-17 14:06:01.286729
Epoch: [0][560/14661], lr: 0.00250	Time 0.284 (0.297)	Data 0.000 (0.002)	Loss 4.1288 (5.1868)	Prec@1 18.750 (8.010)	Prec@5 37.500 (20.076)	2021-05-17 14:06:07.117502
Epoch: [0][580/14661], lr: 0.00250	Time 0.285 (0.296)	Data 0.000 (0.002)	Loss 4.4710 (5.1595)	Prec@1 18.750 (8.186)	Prec@5 25.000 (20.525)	2021-05-17 14:06:12.952427
Epoch: [0][600/14661], lr: 0.00250	Time 0.285 (0.296)	Data 0.000 (0.002)	Loss 4.2917 (5.1368)	Prec@1 6.250 (8.319)	Prec@5 37.500 (20.882)	2021-05-17 14:06:18.778181
Epoch: [0][620/14661], lr: 0.00250	Time 0.298 (0.296)	Data 0.000 (0.002)	Loss 4.0216 (5.1111)	Prec@1 25.000 (8.504)	Prec@5 31.250 (21.316)	2021-05-17 14:06:24.635764
Epoch: [0][640/14661], lr: 0.00250	Time 0.285 (0.296)	Data 0.000 (0.002)	Loss 5.0285 (5.0887)	Prec@1 18.750 (8.658)	Prec@5 18.750 (21.714)	2021-05-17 14:06:30.447628
Epoch: [0][660/14661], lr: 0.00250	Time 0.298 (0.296)	Data 0.000 (0.001)	Loss 4.5158 (5.0709)	Prec@1 12.500 (8.737)	Prec@5 31.250 (21.899)	2021-05-17 14:06:36.279297
Epoch: [0][680/14661], lr: 0.00250	Time 0.297 (0.296)	Data 0.000 (0.001)	Loss 4.3469 (5.0525)	Prec@1 18.750 (8.811)	Prec@5 31.250 (22.192)	2021-05-17 14:06:42.146465
Epoch: [0][700/14661], lr: 0.00250	Time 0.297 (0.296)	Data 0.000 (0.001)	Loss 4.0294 (5.0282)	Prec@1 12.500 (9.032)	Prec@5 43.750 (22.619)	2021-05-17 14:06:47.970866
Epoch: [0][720/14661], lr: 0.00250	Time 0.297 (0.296)	Data 0.000 (0.001)	Loss 3.9702 (5.0120)	Prec@1 18.750 (9.145)	Prec@5 37.500 (22.824)	2021-05-17 14:06:53.810818
Epoch: [0][740/14661], lr: 0.00250	Time 0.285 (0.295)	Data 0.000 (0.001)	Loss 4.4075 (4.9941)	Prec@1 6.250 (9.211)	Prec@5 43.750 (23.178)	2021-05-17 14:06:59.618255
Epoch: [0][760/14661], lr: 0.00250	Time 0.302 (0.295)	Data 0.000 (0.001)	Loss 3.5255 (4.9766)	Prec@1 25.000 (9.281)	Prec@5 43.750 (23.489)	2021-05-17 14:07:05.453569
