Epoch: [0][420/1832], lr: 0.02000	Time 0.333 (0.340)	Data 0.000 (0.003)	Loss 3.6183 (4.1129)	Prec@1 25.000 (18.594)	Prec@5 53.125 (39.627)	2021-05-15 21:19:06.186463
Epoch: [0][440/1832], lr: 0.02000	Time 0.341 (0.339)	Data 0.000 (0.003)	Loss 4.1870 (4.0773)	Prec@1 28.906 (18.970)	Prec@5 53.906 (40.180)	2021-05-15 21:19:12.814453
Epoch: [0][460/1832], lr: 0.02000	Time 0.331 (0.339)	Data 0.000 (0.002)	Loss 3.8432 (4.0586)	Prec@1 27.344 (19.302)	Prec@5 50.781 (40.696)	2021-05-15 21:19:19.421667
Epoch: [0][480/1832], lr: 0.02000	Time 0.329 (0.339)	Data 0.000 (0.002)	Loss 2.9176 (4.0186)	Prec@1 22.656 (19.679)	Prec@5 43.750 (41.179)	2021-05-15 21:19:26.025608
Epoch: [0][500/1832], lr: 0.02000	Time 0.328 (0.338)	Data 0.000 (0.002)	Loss 4.0382 (3.9933)	Prec@1 22.656 (19.955)	Prec@5 47.656 (41.664)	2021-05-15 21:19:32.612186
Epoch: [0][520/1832], lr: 0.02000	Time 0.339 (0.338)	Data 0.000 (0.002)	Loss 3.4261 (3.9637)	Prec@1 29.688 (20.295)	Prec@5 58.594 (42.161)	2021-05-15 21:19:39.215514
Epoch: [0][540/1832], lr: 0.02000	Time 0.332 (0.338)	Data 0.000 (0.002)	Loss 3.6433 (3.9381)	Prec@1 27.344 (20.610)	Prec@5 49.219 (42.634)	2021-05-15 21:19:45.815689
Epoch: [0][560/1832], lr: 0.02000	Time 0.328 (0.337)	Data 0.000 (0.002)	Loss 2.6210 (3.9109)	Prec@1 26.562 (20.900)	Prec@5 50.000 (43.058)	2021-05-15 21:19:52.413132
Epoch: [0][580/1832], lr: 0.02000	Time 0.336 (0.337)	Data 0.000 (0.002)	Loss 3.5914 (3.8934)	Prec@1 28.906 (21.146)	Prec@5 52.344 (43.438)	2021-05-15 21:19:58.996591
Epoch: [0][600/1832], lr: 0.02000	Time 0.331 (0.337)	Data 0.000 (0.002)	Loss 3.2793 (3.8702)	Prec@1 30.469 (21.454)	Prec@5 54.688 (43.890)	2021-05-15 21:20:05.587107
Epoch: [0][620/1832], lr: 0.02000	Time 0.328 (0.337)	Data 0.000 (0.002)	Loss 3.0273 (3.8520)	Prec@1 28.125 (21.669)	Prec@5 56.250 (44.267)	2021-05-15 21:20:12.169734
Epoch: [0][640/1832], lr: 0.02000	Time 0.331 (0.336)	Data 0.000 (0.002)	Loss 2.9025 (3.8319)	Prec@1 26.562 (21.929)	Prec@5 54.688 (44.653)	2021-05-15 21:20:18.741431
Epoch: [0][660/1832], lr: 0.02000	Time 0.335 (0.336)	Data 0.000 (0.002)	Loss 2.6868 (3.8135)	Prec@1 29.688 (22.148)	Prec@5 57.812 (44.991)	2021-05-15 21:20:25.314128
Epoch: [0][680/1832], lr: 0.02000	Time 0.333 (0.336)	Data 0.000 (0.002)	Loss 3.4093 (3.7942)	Prec@1 28.906 (22.344)	Prec@5 53.125 (45.304)	2021-05-15 21:20:31.914198
Epoch: [0][700/1832], lr: 0.02000	Time 0.315 (0.336)	Data 0.000 (0.002)	Loss 3.3064 (3.7790)	Prec@1 32.031 (22.605)	Prec@5 57.031 (45.662)	2021-05-15 21:20:38.494337
Epoch: [0][720/1832], lr: 0.02000	Time 0.332 (0.335)	Data 0.000 (0.002)	Loss 2.7219 (3.7622)	Prec@1 24.219 (22.795)	Prec@5 51.562 (45.955)	2021-05-15 21:20:45.086779
Epoch: [0][740/1832], lr: 0.02000	Time 0.332 (0.335)	Data 0.000 (0.002)	Loss 3.1860 (3.7414)	Prec@1 27.344 (23.013)	Prec@5 52.344 (46.276)	2021-05-15 21:20:51.676145
Epoch: [0][760/1832], lr: 0.02000	Time 0.329 (0.335)	Data 0.000 (0.002)	Loss 2.9216 (3.7202)	Prec@1 28.906 (23.212)	Prec@5 56.250 (46.572)	2021-05-15 21:20:58.281795
Epoch: [0][780/1832], lr: 0.02000	Time 0.332 (0.335)	Data 0.000 (0.002)	Loss 2.8922 (3.7092)	Prec@1 37.500 (23.410)	Prec@5 61.719 (46.810)	2021-05-15 21:21:04.906688
Epoch: [0][800/1832], lr: 0.02000	Time 0.325 (0.335)	Data 0.000 (0.001)	Loss 2.8837 (3.6963)	Prec@1 32.031 (23.598)	Prec@5 63.281 (47.059)	2021-05-15 21:21:11.491358
